"COLOR","SIZE","GENDER","AGE_GROUP","PRODUCT_NAME","CATEGORY","PRODUCT_ID","PRODUCT_PURCHASING_PRICE","PRODUCT_SELLING_PRICE","SUPPLIER_ID"
"pink","M","Male","Kids","T-shirt","Shirts","SKU10040",49.96,63.06,"SP10017"
"purple","M","Male","Kids","T-shirt","Shirts","SKU10041",73.21,87.16,"SP10015"
"yellow","M","Male","Kids","T-shirt","Shirts","SKU10042",27.59,31.7,"SP10006"
"orange","M","Male","Kids","T-shirt","Shirts","SKU10043",50.72,58.72,"SP10016"
"burgundy","M","Male","Kids","T-shirt","Shirts","SKU10044",41.95,47.01,"SP10018"
"teal","M","Male","Kids","T-shirt","Shirts","SKU10045",85.17,94.11,"SP10012"
"black","L","Male","Kids","T-shirt","Shirts","SKU10046",55.88,71,"SP10020"
"white","L","Male","Kids","T-shirt","Shirts","SKU10047",84.81,95.83,"SP10004"
"blue","L","Male","Kids","T-shirt","Shirts","SKU10048",84.99,94.6,"SP10020"
"gray","L","Male","Kids","T-shirt","Shirts","SKU10049",83.55,101.55,"SP10004"
"navy","L","Male","Kids","T-shirt","Shirts","SKU10050",55.19,61.48,"SP10017"
"red","L","Male","Kids","T-shirt","Shirts","SKU10051",80.36,89.59,"SP10011"
"green","L","Male","Kids","T-shirt","Shirts","SKU10052",70.34,80.15,"SP10018"
"brown","L","Male","Kids","T-shirt","Shirts","SKU10053",76.81,94.87,"SP10017"
"beige","L","Male","Kids","T-shirt","Shirts","SKU10054",20.05,22.5,"SP10016"
"pink","L","Male","Kids","T-shirt","Shirts","SKU10055",58.03,71.82,"SP10016"
"purple","L","Male","Kids","T-shirt","Shirts","SKU10056",37.61,45.75,"SP10012"
"yellow","L","Male","Kids","T-shirt","Shirts","SKU10057",50.39,57.6,"SP10006"
"orange","L","Male","Kids","T-shirt","Shirts","SKU10058",69.02,87.15,"SP10002"
"burgundy","L","Male","Kids","T-shirt","Shirts","SKU10059",48.14,58.68,"SP10017"
"teal","L","Male","Kids","T-shirt","Shirts","SKU10060",28.89,36.83,"SP10014"
"black","XL","Male","Kids","T-shirt","Shirts","SKU10061",39.49,49.21,"SP10010"
"white","XL","Male","Kids","T-shirt","Shirts","SKU10062",73.44,95.3,"SP10011"
"blue","XL","Male","Kids","T-shirt","Shirts","SKU10063",53.41,60.08,"SP10015"
"gray","XL","Male","Kids","T-shirt","Shirts","SKU10064",83.06,93.38,"SP10015"
"navy","XL","Male","Kids","T-shirt","Shirts","SKU10065",28.23,31.2,"SP10007"
"red","XL","Male","Kids","T-shirt","Shirts","SKU10066",54.79,70.6,"SP10003"
"green","XL","Male","Kids","T-shirt","Shirts","SKU10067",98.8,123.55,"SP10006"
"brown","XL","Male","Kids","T-shirt","Shirts","SKU10068",91.44,109.2,"SP10009"
"beige","XL","Male","Kids","T-shirt","Shirts","SKU10069",90.92,116.12,"SP10013"
"pink","XL","Male","Kids","T-shirt","Shirts","SKU10070",34,43.76,"SP10018"
"purple","XL","Male","Kids","T-shirt","Shirts","SKU10071",30.46,39.47,"SP10010"
"yellow","XL","Male","Kids","T-shirt","Shirts","SKU10072",72.25,79.63,"SP10016"
"orange","XL","Male","Kids","T-shirt","Shirts","SKU10073",47.48,58.64,"SP10020"
"burgundy","XL","Male","Kids","T-shirt","Shirts","SKU10074",72.54,82.31,"SP10017"
"teal","XL","Male","Kids","T-shirt","Shirts","SKU10075",45.63,50.77,"SP10002"
"black","XS","Female","Kids","T-shirt","Shirts","SKU10076",35.02,44.99,"SP10019"
"white","XS","Female","Kids","T-shirt","Shirts","SKU10077",82.58,93.09,"SP10013"
"blue","XS","Female","Kids","T-shirt","Shirts","SKU10078",27.49,32.97,"SP10017"
"gray","XS","Female","Kids","T-shirt","Shirts","SKU10079",57.34,66.75,"SP10003"
"navy","XS","Female","Kids","T-shirt","Shirts","SKU10080",60.92,76.77,"SP10014"
"red","XS","Female","Kids","T-shirt","Shirts","SKU10081",68,85.58,"SP10005"
"green","XS","Female","Kids","T-shirt","Shirts","SKU10082",46.63,53.34,"SP10001"
"brown","XS","Female","Kids","T-shirt","Shirts","SKU10083",59.09,72.4,"SP10014"
"beige","XS","Female","Kids","T-shirt","Shirts","SKU10084",96.36,109.91,"SP10010"
"pink","XS","Female","Kids","T-shirt","Shirts","SKU10085",58.63,69.5,"SP10013"
"purple","XS","Female","Kids","T-shirt","Shirts","SKU10086",91.23,108.17,"SP10001"
"yellow","XS","Female","Kids","T-shirt","Shirts","SKU10087",93.16,105.74,"SP10013"
"orange","XS","Female","Kids","T-shirt","Shirts","SKU10088",68.7,80.35,"SP10006"
"burgundy","XS","Female","Kids","T-shirt","Shirts","SKU10089",52.86,66.24,"SP10012"
"teal","XS","Female","Kids","T-shirt","Shirts","SKU10090",31.77,39.23,"SP10008"
"black","S","Female","Kids","T-shirt","Shirts","SKU10091",94.82,119.69,"SP10017"
"white","S","Female","Kids","T-shirt","Shirts","SKU10092",44.1,53.24,"SP10020"
"blue","S","Female","Kids","T-shirt","Shirts","SKU10093",24.86,31.5,"SP10011"
"gray","S","Female","Kids","T-shirt","Shirts","SKU10094",95.82,118.75,"SP10006"
"navy","S","Female","Kids","T-shirt","Shirts","SKU10095",77.65,86.79,"SP10013"
"red","S","Female","Kids","T-shirt","Shirts","SKU10096",31.38,35.94,"SP10018"
"green","S","Female","Kids","T-shirt","Shirts","SKU10097",63.94,80.71,"SP10001"
"brown","S","Female","Kids","T-shirt","Shirts","SKU10098",96.33,106.31,"SP10010"
"beige","S","Female","Kids","T-shirt","Shirts","SKU10099",66.84,74.89,"SP10014"
"pink","S","Female","Kids","T-shirt","Shirts","SKU10100",52.36,61.69,"SP10006"
"purple","S","Female","Kids","T-shirt","Shirts","SKU10101",71.83,88.54,"SP10004"
"yellow","S","Female","Kids","T-shirt","Shirts","SKU10102",45.59,56.34,"SP10016"
"orange","S","Female","Kids","T-shirt","Shirts","SKU10103",44.62,56.93,"SP10013"
"burgundy","S","Female","Kids","T-shirt","Shirts","SKU10104",37.58,45.82,"SP10006"
"teal","S","Female","Kids","T-shirt","Shirts","SKU10105",49.56,57.05,"SP10013"
"black","M","Female","Kids","T-shirt","Shirts","SKU10106",98.74,113.08,"SP10009"
"white","M","Female","Kids","T-shirt","Shirts","SKU10107",32.34,40.85,"SP10009"
"blue","M","Female","Kids","T-shirt","Shirts","SKU10108",27.28,31.41,"SP10012"
"gray","M","Female","Kids","T-shirt","Shirts","SKU10109",31.35,36.63,"SP10019"
"navy","M","Female","Kids","T-shirt","Shirts","SKU10110",75.2,91.78,"SP10014"
"red","M","Female","Kids","T-shirt","Shirts","SKU10111",69.54,85.16,"SP10013"
"green","M","Female","Kids","T-shirt","Shirts","SKU10112",91.31,104.44,"SP10015"
"brown","M","Female","Kids","T-shirt","Shirts","SKU10113",73.84,95.81,"SP10018"
"beige","M","Female","Kids","T-shirt","Shirts","SKU10114",78.97,91.45,"SP10010"
"pink","M","Female","Kids","T-shirt","Shirts","SKU10115",61.69,73.65,"SP10007"
"purple","M","Female","Kids","T-shirt","Shirts","SKU10116",72.79,87.07,"SP10013"
"yellow","M","Female","Kids","T-shirt","Shirts","SKU10117",85.74,98.1,"SP10015"
"orange","M","Female","Kids","T-shirt","Shirts","SKU10118",82.9,106.25,"SP10019"
"burgundy","M","Female","Kids","T-shirt","Shirts","SKU10119",98.39,114.93,"SP10010"
"teal","M","Female","Kids","T-shirt","Shirts","SKU10120",55.15,66.26,"SP10002"
"black","L","Female","Kids","T-shirt","Shirts","SKU10121",44.94,52.51,"SP10014"
"white","L","Female","Kids","T-shirt","Shirts","SKU10122",52.76,62.98,"SP10017"
"blue","L","Female","Kids","T-shirt","Shirts","SKU10123",20.84,26.17,"SP10012"
"gray","L","Female","Kids","T-shirt","Shirts","SKU10124",34.71,40.62,"SP10008"
"navy","L","Female","Kids","T-shirt","Shirts","SKU10125",87.42,98.21,"SP10010"
"red","L","Female","Kids","T-shirt","Shirts","SKU10126",38.49,49.28,"SP10005"
"green","L","Female","Kids","T-shirt","Shirts","SKU10127",39.13,45.11,"SP10008"
"brown","L","Female","Kids","T-shirt","Shirts","SKU10128",26.14,30.24,"SP10012"
"beige","L","Female","Kids","T-shirt","Shirts","SKU10129",39.66,49.9,"SP10014"
"pink","L","Female","Kids","T-shirt","Shirts","SKU10130",78.57,88.99,"SP10009"
"purple","L","Female","Kids","T-shirt","Shirts","SKU10131",87.8,106.26,"SP10020"
"yellow","L","Female","Kids","T-shirt","Shirts","SKU10132",59.8,67.44,"SP10018"
"orange","L","Female","Kids","T-shirt","Shirts","SKU10133",51.03,66.27,"SP10002"
"burgundy","L","Female","Kids","T-shirt","Shirts","SKU10134",39.72,49.72,"SP10006"
"teal","L","Female","Kids","T-shirt","Shirts","SKU10135",28.89,35.23,"SP10008"
"black","XL","Female","Kids","T-shirt","Shirts","SKU10136",51.2,57.29,"SP10017"
"white","XL","Female","Kids","T-shirt","Shirts","SKU10137",65.75,75.6,"SP10004"
"blue","XL","Female","Kids","T-shirt","Shirts","SKU10138",37.35,41.94,"SP10020"
"gray","XL","Female","Kids","T-shirt","Shirts","SKU10139",55.58,62.97,"SP10001"
"navy","XL","Female","Kids","T-shirt","Shirts","SKU10140",37.44,42.23,"SP10011"
"red","XL","Female","Kids","T-shirt","Shirts","SKU10141",60.18,76.99,"SP10020"
"green","XL","Female","Kids","T-shirt","Shirts","SKU10142",48.31,62.32,"SP10019"
"brown","XL","Female","Kids","T-shirt","Shirts","SKU10143",72,82.33,"SP10016"
"beige","XL","Female","Kids","T-shirt","Shirts","SKU10144",49.98,63.25,"SP10016"
"pink","XL","Female","Kids","T-shirt","Shirts","SKU10145",48.44,58.71,"SP10012"
"purple","XL","Female","Kids","T-shirt","Shirts","SKU10146",62.7,80.8,"SP10019"
"yellow","XL","Female","Kids","T-shirt","Shirts","SKU10147",79.23,91.3,"SP10012"
"orange","XL","Female","Kids","T-shirt","Shirts","SKU10148",37.69,43.74,"SP10005"
"burgundy","XL","Female","Kids","T-shirt","Shirts","SKU10149",53.02,67.67,"SP10014"
"teal","XL","Female","Kids","T-shirt","Shirts","SKU10150",41.25,49.22,"SP10007"
"black","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10151",70.4,88.05,"SP10002"
"white","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10152",34.71,40.9,"SP10011"
"blue","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10153",89.09,107.61,"SP10019"
"gray","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10154",79.73,97.72,"SP10003"
"navy","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10155",73.46,94.47,"SP10009"
"red","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10156",69.44,86.79,"SP10009"
"green","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10157",49.78,55.35,"SP10010"
"brown","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10158",62.39,79.14,"SP10003"
"beige","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10159",89.97,107.03,"SP10010"
"pink","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10160",66.54,86.15,"SP10005"
"purple","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10161",87.18,97.54,"SP10012"
"yellow","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10162",45,55.33,"SP10003"
"orange","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10163",76.66,93.41,"SP10020"
"burgundy","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10164",41.2,47.91,"SP10007"
"teal","XS","Male","Pre-Teens","T-shirt","Shirts","SKU10165",67.55,85.23,"SP10018"
"black","S","Male","Pre-Teens","T-shirt","Shirts","SKU10166",58.5,66.96,"SP10012"
"white","S","Male","Pre-Teens","T-shirt","Shirts","SKU10167",41.2,50.6,"SP10008"
"blue","S","Male","Pre-Teens","T-shirt","Shirts","SKU10168",65.17,78.2,"SP10006"
"gray","S","Male","Pre-Teens","T-shirt","Shirts","SKU10169",93.06,106,"SP10020"
"navy","S","Male","Pre-Teens","T-shirt","Shirts","SKU10170",92.15,119.25,"SP10016"
"red","S","Male","Pre-Teens","T-shirt","Shirts","SKU10171",41.93,49.22,"SP10018"
"green","S","Male","Pre-Teens","T-shirt","Shirts","SKU10172",45.72,56.61,"SP10017"
"brown","S","Male","Pre-Teens","T-shirt","Shirts","SKU10173",98.85,114.47,"SP10008"
"beige","S","Male","Pre-Teens","T-shirt","Shirts","SKU10174",69.6,76.68,"SP10012"
"pink","S","Male","Pre-Teens","T-shirt","Shirts","SKU10175",94.99,110.73,"SP10017"
"purple","S","Male","Pre-Teens","T-shirt","Shirts","SKU10176",57.32,64.78,"SP10011"
"yellow","S","Male","Pre-Teens","T-shirt","Shirts","SKU10177",52.55,62.2,"SP10019"
"orange","S","Male","Pre-Teens","T-shirt","Shirts","SKU10178",72.74,81.08,"SP10004"
"burgundy","S","Male","Pre-Teens","T-shirt","Shirts","SKU10179",32.19,40.35,"SP10003"
"teal","S","Male","Pre-Teens","T-shirt","Shirts","SKU10180",65.83,83.16,"SP10013"
"black","M","Male","Pre-Teens","T-shirt","Shirts","SKU10181",39.1,44.21,"SP10019"
"white","M","Male","Pre-Teens","T-shirt","Shirts","SKU10182",96.99,112.5,"SP10010"
"blue","M","Male","Pre-Teens","T-shirt","Shirts","SKU10183",68.11,79.34,"SP10017"
"gray","M","Male","Pre-Teens","T-shirt","Shirts","SKU10184",61.2,70.31,"SP10006"
"navy","M","Male","Pre-Teens","T-shirt","Shirts","SKU10185",52.21,67.06,"SP10009"
"red","M","Male","Pre-Teens","T-shirt","Shirts","SKU10186",90.42,115.14,"SP10005"
"green","M","Male","Pre-Teens","T-shirt","Shirts","SKU10187",49.13,61.82,"SP10016"
"brown","M","Male","Pre-Teens","T-shirt","Shirts","SKU10188",43.06,48.35,"SP10011"
"beige","M","Male","Pre-Teens","T-shirt","Shirts","SKU10189",33.65,42.38,"SP10014"
"pink","M","Male","Pre-Teens","T-shirt","Shirts","SKU10190",33.77,42.93,"SP10012"
"purple","M","Male","Pre-Teens","T-shirt","Shirts","SKU10191",58.56,75.03,"SP10010"
"yellow","M","Male","Pre-Teens","T-shirt","Shirts","SKU10192",40.24,49.15,"SP10018"
"orange","M","Male","Pre-Teens","T-shirt","Shirts","SKU10193",37.3,45.57,"SP10011"
"burgundy","M","Male","Pre-Teens","T-shirt","Shirts","SKU10194",73.95,88.99,"SP10005"
"teal","M","Male","Pre-Teens","T-shirt","Shirts","SKU10195",23.81,30.12,"SP10020"
"black","L","Male","Pre-Teens","T-shirt","Shirts","SKU10196",76.07,97.82,"SP10013"
"white","L","Male","Pre-Teens","T-shirt","Shirts","SKU10197",48.15,55.81,"SP10016"
"blue","L","Male","Pre-Teens","T-shirt","Shirts","SKU10198",52.72,60.15,"SP10013"
"gray","L","Male","Pre-Teens","T-shirt","Shirts","SKU10199",85.68,96.43,"SP10005"
"navy","L","Male","Pre-Teens","T-shirt","Shirts","SKU10200",93.51,105.53,"SP10010"
"red","L","Male","Pre-Teens","T-shirt","Shirts","SKU10201",42.6,48.31,"SP10018"
"green","L","Male","Pre-Teens","T-shirt","Shirts","SKU10202",96.89,120.9,"SP10020"
"brown","L","Male","Pre-Teens","T-shirt","Shirts","SKU10203",78.27,89.49,"SP10018"
"beige","L","Male","Pre-Teens","T-shirt","Shirts","SKU10204",74.91,96.08,"SP10009"
"pink","L","Male","Pre-Teens","T-shirt","Shirts","SKU10205",24.23,26.93,"SP10010"
"purple","L","Male","Pre-Teens","T-shirt","Shirts","SKU10206",51.62,64.51,"SP10014"
"yellow","L","Male","Pre-Teens","T-shirt","Shirts","SKU10207",58.23,73.96,"SP10009"
"orange","L","Male","Pre-Teens","T-shirt","Shirts","SKU10208",64.82,72.81,"SP10005"
"burgundy","L","Male","Pre-Teens","T-shirt","Shirts","SKU10209",75.86,87.17,"SP10009"
"teal","L","Male","Pre-Teens","T-shirt","Shirts","SKU10210",93.25,107.95,"SP10010"
"black","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10211",69.47,76.95,"SP10019"
"white","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10212",54.27,70.06,"SP10019"
"blue","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10213",63.37,71.47,"SP10008"
"gray","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10214",24.68,31.01,"SP10015"
"navy","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10215",40.87,45.95,"SP10003"
"red","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10216",51.77,62.29,"SP10017"
"green","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10217",35.82,39.6,"SP10006"
"brown","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10218",86.55,101.68,"SP10003"
"beige","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10219",32.23,39.75,"SP10005"
"pink","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10220",84.27,101.45,"SP10012"
"purple","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10221",63.75,77.67,"SP10005"
"yellow","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10222",72.99,80.98,"SP10003"
"orange","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10223",33.74,37.37,"SP10015"
"burgundy","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10224",70.64,88.56,"SP10003"
"teal","XL","Male","Pre-Teens","T-shirt","Shirts","SKU10225",44.95,57.95,"SP10011"
"black","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10226",77.96,100.65,"SP10018"
"white","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10227",51.92,59.68,"SP10004"
"blue","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10228",97.55,109.76,"SP10010"
"gray","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10229",97.39,113.17,"SP10008"
"navy","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10230",78.14,96.34,"SP10003"
"red","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10231",40.58,47.22,"SP10017"
"green","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10232",37.74,47.07,"SP10006"
"brown","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10233",67.44,74.25,"SP10005"
"beige","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10234",41.4,46.74,"SP10019"
"pink","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10235",62.49,76.54,"SP10018"
"purple","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10236",82.82,106.96,"SP10019"
"yellow","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10237",33.44,39.59,"SP10002"
"orange","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10238",52.35,63.44,"SP10016"
"burgundy","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10239",57.73,67.76,"SP10019"
"teal","XS","Female","Pre-Teens","T-shirt","Shirts","SKU10240",89.45,109.93,"SP10006"
"black","S","Female","Pre-Teens","T-shirt","Shirts","SKU10241",94.06,117.74,"SP10016"
"white","S","Female","Pre-Teens","T-shirt","Shirts","SKU10242",90.56,100.14,"SP10001"
"blue","S","Female","Pre-Teens","T-shirt","Shirts","SKU10243",73.93,90.54,"SP10006"
"gray","S","Female","Pre-Teens","T-shirt","Shirts","SKU10244",96.01,120.17,"SP10006"
"navy","S","Female","Pre-Teens","T-shirt","Shirts","SKU10245",61.32,70.63,"SP10008"
"red","S","Female","Pre-Teens","T-shirt","Shirts","SKU10246",66.12,84.77,"SP10003"
"green","S","Female","Pre-Teens","T-shirt","Shirts","SKU10247",46.91,55.12,"SP10009"
"brown","S","Female","Pre-Teens","T-shirt","Shirts","SKU10248",47.79,58.79,"SP10011"
"beige","S","Female","Pre-Teens","T-shirt","Shirts","SKU10249",21.6,24,"SP10017"
"pink","S","Female","Pre-Teens","T-shirt","Shirts","SKU10250",60.23,67.38,"SP10013"
"purple","S","Female","Pre-Teens","T-shirt","Shirts","SKU10251",89.68,116.54,"SP10015"
"yellow","S","Female","Pre-Teens","T-shirt","Shirts","SKU10252",20.5,23.99,"SP10015"
"orange","S","Female","Pre-Teens","T-shirt","Shirts","SKU10253",25.76,29.08,"SP10017"
"burgundy","S","Female","Pre-Teens","T-shirt","Shirts","SKU10254",33.14,37.42,"SP10015"
"teal","S","Female","Pre-Teens","T-shirt","Shirts","SKU10255",81.63,93.68,"SP10007"
"black","M","Female","Pre-Teens","T-shirt","Shirts","SKU10256",78.81,89.58,"SP10020"
"white","M","Female","Pre-Teens","T-shirt","Shirts","SKU10257",97.75,126.08,"SP10004"
"blue","M","Female","Pre-Teens","T-shirt","Shirts","SKU10258",57.32,73.89,"SP10008"
"gray","M","Female","Pre-Teens","T-shirt","Shirts","SKU10259",25.95,31.82,"SP10010"
"navy","M","Female","Pre-Teens","T-shirt","Shirts","SKU10260",71.91,88.23,"SP10003"
"red","M","Female","Pre-Teens","T-shirt","Shirts","SKU10261",80.69,90.24,"SP10010"
"green","M","Female","Pre-Teens","T-shirt","Shirts","SKU10262",30.97,37.93,"SP10008"
"brown","M","Female","Pre-Teens","T-shirt","Shirts","SKU10263",51.73,64.03,"SP10013"
"beige","M","Female","Pre-Teens","T-shirt","Shirts","SKU10264",38,42.48,"SP10014"
"pink","M","Female","Pre-Teens","T-shirt","Shirts","SKU10265",24.64,28.4,"SP10001"
"purple","M","Female","Pre-Teens","T-shirt","Shirts","SKU10266",51.67,60.64,"SP10017"
"yellow","M","Female","Pre-Teens","T-shirt","Shirts","SKU10267",25.19,29.74,"SP10018"
"orange","M","Female","Pre-Teens","T-shirt","Shirts","SKU10268",38.07,45.3,"SP10011"
"burgundy","M","Female","Pre-Teens","T-shirt","Shirts","SKU10269",24.37,30.79,"SP10001"
"teal","M","Female","Pre-Teens","T-shirt","Shirts","SKU10270",73.62,82.68,"SP10020"
"black","L","Female","Pre-Teens","T-shirt","Shirts","SKU10271",43.82,49.57,"SP10010"
"white","L","Female","Pre-Teens","T-shirt","Shirts","SKU10272",28.06,35.01,"SP10020"
"blue","L","Female","Pre-Teens","T-shirt","Shirts","SKU10273",25.75,29.29,"SP10010"
"gray","L","Female","Pre-Teens","T-shirt","Shirts","SKU10274",90.44,102.31,"SP10017"
"navy","L","Female","Pre-Teens","T-shirt","Shirts","SKU10275",80.34,96.77,"SP10020"
"red","L","Female","Pre-Teens","T-shirt","Shirts","SKU10276",85.33,102.39,"SP10015"
"green","L","Female","Pre-Teens","T-shirt","Shirts","SKU10277",98.57,110.36,"SP10018"
"brown","L","Female","Pre-Teens","T-shirt","Shirts","SKU10278",28.29,32.13,"SP10008"
"beige","L","Female","Pre-Teens","T-shirt","Shirts","SKU10279",27.92,33.44,"SP10013"
"pink","L","Female","Pre-Teens","T-shirt","Shirts","SKU10280",83.91,107.12,"SP10005"
"purple","L","Female","Pre-Teens","T-shirt","Shirts","SKU10281",82.77,92.04,"SP10012"
"yellow","L","Female","Pre-Teens","T-shirt","Shirts","SKU10282",20.75,24.56,"SP10007"
"orange","L","Female","Pre-Teens","T-shirt","Shirts","SKU10283",82.33,94.19,"SP10007"
"burgundy","L","Female","Pre-Teens","T-shirt","Shirts","SKU10284",78.35,88.94,"SP10004"
"teal","L","Female","Pre-Teens","T-shirt","Shirts","SKU10285",70.41,91.18,"SP10011"
"black","XL","Female","Pre-Teens","T-shirt","Shirts","SKU10286",58.47,69.68,"SP10019"
"white","XL","Female","Pre-Teens","T-shirt","Shirts","SKU10287",32.53,40.43,"SP10010"
"blue","XL","Female","Pre-Teens","T-shirt","Shirts","SKU10288",20.66,26.18,"SP10015"
"gray","XL","Female","Pre-Teens","T-shirt","Shirts","SKU10289",56.2,66.76,"SP10003"
"navy","XL","Female","Pre-Teens","T-shirt","Shirts","SKU10290",59.38,73.12,"SP10002"
"red","XL","Female","Pre-Teens","T-shirt","Shirts","SKU10291",51.17,57.55,"SP10020"
"green","XL","Female","Pre-Teens","T-shirt","Shirts","SKU10292",57.17,67.64,"SP10016"
