"SHIPPING_ID","POST_CODE","CARRIER"
"SH10106","NW1 6BN","FedEx"
"SH10107","DD6 9JQ","DHL"
"SH10108","EX1 3GY","DHL"
"SH10109","ST6 2DL","DHL"
"SH10110","EN11 8RY","FedEx"
"SH10111","BD13 1BP","FedEx"
"SH10112","SW16 4SF","UPS"
"SH10113","IP13 7SW","DHL"
"SH10114","L18 9SD","Evri"
"SH10115","UB6 9BY","DHL"
"SH10116","NE33 2AP","Royal Mail"
"SH10117","NE21 6AP","FedEx"
"SH10118","IP11 9GA","Evri"
"SH10119","WF12 0NT","UPS"
"SH10120","OL3 7NF","Evri"
"SH10121","PL25 4LH","Royal Mail"
"SH10122","OL14 8BJ","Evri"
"SH10123","BS31 2JW","FedEx"
"SH10124","S6 3RF","Royal Mail"
"SH10125","RH10 4UH","Evri"
"SH10126","NG24 2PB","DHL"
"SH10127","AB10 6TG","FedEx"
"SH10128","DG7 1RB","DHL"
"SH10129","SA4 4PJ","DHL"
"SH10130","AL7 4DF","FedEx"
"SH10131","NE6 3BE","DHL"
"SH10132","SY23 3QX","UPS"
"SH10133","TW4 5DR","FedEx"
"SH10134","TS24 7DR","DHL"
"SH10135","MK40 2NT","FedEx"
"SH10136","CT8 8QR","UPS"
"SH10137","SN12 8NF","DHL"
"SH10138","NG34 7DT","Royal Mail"
"SH10139","DD8 2SE","Royal Mail"
"SH10140","KA25 7HP","UPS"
"SH10141","PE28 0LD","Evri"
"SH10142","HX4 9BJ","UPS"
"SH10143","HP27 0QR","FedEx"
"SH10144","GU26 6AF","Evri"
"SH10145","KT6 7LG","FedEx"
"SH10146","DN5 9DG","Evri"
"SH10147","B35 7QJ","FedEx"
"SH10148","ML7 4EB","DHL"
"SH10149","TW7 4LX","DHL"
"SH10150","NR8 6NY","DHL"
"SH10151","ME3 9BS","FedEx"
"SH10152","M16 7HB","DHL"
"SH10153","DN22 8HS","DHL"
"SH10154","BN21 3NJ","UPS"
"SH10155","DA3 8JB","UPS"
"SH10156","CT11 0FH","UPS"
"SH10157","FK8 3ND","Royal Mail"
"SH10158","NE62 5SB","DHL"
"SH10159","WV4 5EL","UPS"
"SH10160","CT21 4AZ","FedEx"
"SH10161","SN15 4SL","Royal Mail"
"SH10162","B90 1TN","Royal Mail"
"SH10163","HX7 5NE","FedEx"
"SH10164","SE5 8UW","Royal Mail"
"SH10165","PA15 1PU","FedEx"
"SH10166","S45 8FD","Evri"
"SH10167","DL8 4ND","UPS"
"SH10168","TW1 4NL","Royal Mail"
"SH10169","CV47 2ER","DHL"
"SH10170","EH44 6PS","FedEx"
"SH10171","BT33 0SA","UPS"
"SH10172","ME7 4PS","UPS"
"SH10173","RH2 8EH","FedEx"
"SH10174","DH1 9RH","FedEx"
"SH10175","EX35 6AL","FedEx"
"SH10176","IV36 2QB","UPS"
"SH10177","TS10 3NS","Evri"
"SH10178","LS14 3BA","Royal Mail"
"SH10179","DY10 2SP","Royal Mail"
"SH10180","CW5 6BS","UPS"
"SH10181","M19 2FA","Evri"
"SH10182","LS18 4JT","Evri"
"SH10183","SN14 0XQ","Evri"
"SH10184","WV9 5BH","Royal Mail"
"SH10185","IP5 2DD","Evri"
"SH10186","AB16 6TN","Royal Mail"
"SH10187","TN13 2UZ","UPS"
"SH10188","SM4 4EB","DHL"
"SH10189","IG6 2BL","FedEx"
"SH10190","EN6 5BX","Royal Mail"
"SH10191","B98 7TG","FedEx"
"SH10192","LL49 9DU","Evri"
"SH10193","EX34 8BB","DHL"
"SH10194","E13 9GX","Royal Mail"
"SH10195","WA15 7JF","DHL"
"SH10196","DL7 8XE","Royal Mail"
"SH10197","WF1 3RS","UPS"
"SH10198","PH7 3BF","UPS"
"SH10199","EH47 7LP","UPS"
"SH10200","RH10 8EX","Evri"
"SH10201","LE13 0FA","Evri"
"SH10202","OX14 2RA","Royal Mail"
"SH10203","DA8 3EQ","FedEx"
"SH10204","DL14 6AL","FedEx"
"SH10205","HU17 7HZ","Evri"
"SH10206","LS27 7AY","UPS"
"SH10207","WA14 3QT","FedEx"
"SH10208","ME13 9BQ","Evri"
"SH10209","RM11 1HR","Evri"
"SH10210","LA3 3JH","Evri"
"SH10211","GY1 2BF","Royal Mail"
"SH10212","W4 5LZ","Evri"
"SH10213","RG12 1DZ","Evri"
"SH10214","KA21 5AF","Royal Mail"
"SH10215","LL62 5PR","Evri"
"SH10216","DD5 3DS","Royal Mail"
"SH10217","G72 7NS","Royal Mail"
"SH10218","SE7 8LF","UPS"
"SH10219","L19 3QF","Evri"
"SH10220","TA14 6TE","FedEx"
"SH10221","DA11 7LE","DHL"
"SH10222","RG29 1BQ","Evri"
"SH10223","SE23 3DG","DHL"
"SH10224","CB9 7HD","FedEx"
"SH10225","LE9 2DB","DHL"
"SH10226","B42 2GA","Royal Mail"
"SH10227","FY1 4ND","FedEx"
"SH10228","TN16 3AA","Evri"
"SH10229","E17 5HB","UPS"
"SH10230","M21 8DE","Royal Mail"
"SH10231","PO7 6XJ","UPS"
"SH10232","CF14 1PX","DHL"
"SH10233","WA7 6EE","UPS"
"SH10234","DE6 3FR","DHL"
"SH10235","OL8 4QH","UPS"
"SH10236","TN11 8NH","FedEx"
"SH10237","SW16 5FT","UPS"
"SH10238","LS9 7PD","FedEx"
"SH10239","TS19 7SW","UPS"
"SH10240","L1 1RJ","FedEx"
"SH10241","CO10 0HY","FedEx"
"SH10242","NG5 1EF","Evri"
"SH10243","SE1P 5WH","Evri"
"SH10244","G76 8NR","Royal Mail"
"SH10245","NR29 5DY","Evri"
"SH10246","DH2 2QZ","DHL"
"SH10247","DY11 5EZ","FedEx"
"SH10248","DY8 3QB","DHL"
"SH10249","IP27 0QU","Royal Mail"
"SH10250","NP20 6GS","DHL"
"SH10251","RH19 4TP","Evri"
"SH10252","NE24 3AZ","FedEx"
"SH10253","WN1 1JP","Royal Mail"
"SH10254","ME9 7RU","DHL"
"SH10255","MK41 7RU","Evri"
"SH10256","HP3 9NN","DHL"
"SH10257","CW8 1SL","DHL"
"SH10258","PR3 6TA","Royal Mail"
"SH10259","PE32 2QJ","Royal Mail"
"SH10260","S66 9EU","FedEx"
"SH10261","IV6 7PX","DHL"
"SH10262","NG20 0NH","Evri"
"SH10263","PO33 3FD","Evri"
"SH10264","CF36 5AN","Evri"
"SH10265","KW1 4AP","DHL"
"SH10266","BS3 2LL","DHL"
"SH10267","DY2 7ET","UPS"
"SH10268","SE1 7DZ","Royal Mail"
"SH10269","SA8 3BS","DHL"
"SH10270","KT22 9DS","Royal Mail"
"SH10271","E1 5GF","FedEx"
"SH10272","BT45 5PA","DHL"
"SH10273","TS28 5BG","Evri"
"SH10274","SW1V 3NG","FedEx"
"SH10275","BL8 9SU","FedEx"
"SH10276","SK5 8DQ","DHL"
"SH10277","LA3 3SN","UPS"
"SH10278","IG8 9HU","Evri"
"SH10279","HA6 3AZ","UPS"
"SH10280","NN6 6LR","Royal Mail"
"SH10281","LN12 2BG","Royal Mail"
"SH10282","SS9 2JS","Royal Mail"
"SH10283","KA29 0DD","UPS"
"SH10284","PE30 3HT","UPS"
"SH10285","PE1 2QJ","Royal Mail"
"SH10286","TS21 2DY","Evri"
"SH10287","M14 6US","FedEx"
"SH10288","BB6 8DT","UPS"
"SH10289","EN4 0JQ","UPS"
"SH10290","CV21 2RH","Royal Mail"
"SH10291","BS8 2SX","Royal Mail"
"SH10292","YO26 6JN","Royal Mail"
"SH10293","SP4 7XS","Royal Mail"
"SH10294","CR8 1JB","UPS"
"SH10295","GL1 4LQ","Royal Mail"
"SH10296","LE5 2DN","Royal Mail"
"SH10297","HP6 5RA","Evri"
"SH10298","BR5 4AD","DHL"
"SH10299","HR1 2QL","Evri"
"SH10300","TN8 5QF","UPS"
"SH10301","NP7 9BA","DHL"
"SH10302","CA1 3NG","Royal Mail"
"SH10303","DG9 7SD","UPS"
"SH10304","M28 1AZ","DHL"
"SH10305","DE23 6AX","UPS"
"SH10306","DD11 2PB","Royal Mail"
"SH10307","EN5 2QN","FedEx"
"SH10308","LL21 9EE","DHL"
"SH10309","NG19 0QA","FedEx"
"SH10310","M32 0AQ","FedEx"
"SH10311","SE18 6BA","UPS"
"SH10312","WA16 8NF","DHL"
"SH10313","DY3 3LL","FedEx"
"SH10314","S11 8SB","Evri"
"SH10315","EC2Y 8BN","Evri"
"SH10316","SN4 7FE","DHL"
"SH10317","TS15 9DJ","Royal Mail"
"SH10318","DN4 0HY","Evri"
"SH10319","BT53 8DG","UPS"
"SH10320","EC3R 7ND","DHL"
"SH10321","NE38 7DH","Evri"
"SH10322","CM1 3BL","UPS"
"SH10323","RG14 5AX","FedEx"
"SH10324","CM12 9ST","DHL"
"SH10325","DH7 8EE","Evri"
"SH10326","S70 1YP","Royal Mail"
"SH10327","S73 0EH","Royal Mail"
"SH10328","TA1 3JB","Evri"
"SH10329","S6 4QQ","Royal Mail"
"SH10330","CO10 9LB","DHL"
"SH10331","M14 5GZ","Evri"
"SH10332","JE3 8BL","FedEx"
"SH10333","TR7 3FW","DHL"
"SH10334","SW15 3TQ","UPS"
"SH10335","LE4 7RG","Evri"
"SH10336","NG16 5AH","DHL"
"SH10337","CM4 9TP","DHL"
"SH10338","SL1 2HU","Evri"
"SH10339","CV2 4DX","Royal Mail"
"SH10340","CM77 8AN","UPS"
"SH10341","DE11 7BT","Royal Mail"
"SH10342","SE13 6QF","UPS"
"SH10343","BS35 3NA","FedEx"
"SH10344","SW6 6FF","UPS"
"SH10345","YO23 1EB","Royal Mail"
"SH10346","DY11 5UD","Evri"
"SH10347","SR1 2HS","DHL"
"SH10348","AB45 1DU","FedEx"
"SH10349","SN16 9EQ","Evri"
"SH10350","DG13 0BL","Royal Mail"
"SH10351","DT3 5ST","DHL"
"SH10352","SP3 6HP","DHL"
"SH10353","CB2 3JX","Royal Mail"
"SH10354","DL13 4BW","Evri"
"SH10355","CF32 9NA","Royal Mail"
"SH10356","SE20 7RX","Evri"
"SH10357","PE12 8ND","Evri"
"SH10358","S81 0SY","UPS"
"SH10359","ME1 3XF","FedEx"
"SH10360","FY1 6QY","FedEx"
"SH10361","PA16 9AZ","UPS"
"SH10362","BD18 2PA","UPS"
"SH10363","CW5 5DP","UPS"
"SH10364","RH8 0QL","Royal Mail"
"SH10365","SK6 4EQ","Evri"
"SH10366","BT93 7EW","UPS"
"SH10367","SW7 5LZ","FedEx"
"SH10368","S18 1QS","FedEx"
"SH10369","WA15 9QP","FedEx"
"SH10370","EH16 4AG","UPS"
"SH10371","CF5 4SW","Royal Mail"
"SH10372","EH4 7BN","DHL"
"SH10373","LS9 6SU","FedEx"
"SH10374","WD3 6DB","DHL"
"SH10375","SO53 5NS","FedEx"
"SH10376","NW1 5DP","DHL"
"SH10377","NE29 9JW","Royal Mail"
"SH10378","NG6 8FS","UPS"
"SH10379","ME14 2JU","Evri"
"SH10380","RM14 2LR","UPS"
"SH10381","G43 1FJ","Royal Mail"
"SH10382","DN5 0EA","DHL"
"SH10383","SW11 5BA","UPS"
"SH10384","BB10 2LW","Evri"
"SH10385","SK22 4LG","Royal Mail"
"SH10386","AB30 1BS","Evri"
"SH10387","PH16 5BW","FedEx"
"SH10388","EH48 1SQ","Royal Mail"
"SH10389","GU22 0SQ","UPS"
"SH10390","M5 3LU","FedEx"
"SH10391","CF14 2JA","Royal Mail"
"SH10392","SR8 5RS","Royal Mail"
"SH10393","OX11 9BG","Royal Mail"
"SH10394","EH40 3BY","FedEx"
"SH10395","B31 5HQ","DHL"
"SH10396","DL8 4PS","FedEx"
"SH10397","PE12 6JW","Evri"
"SH10398","SR2 7TS","FedEx"
"SH10399","GU26 6HF","Royal Mail"
"SH10400","NW2 6HZ","UPS"
"SH10401","TQ7 2LF","UPS"
"SH10402","NE15 7AD","FedEx"
"SH10403","TA19 0LN","DHL"
"SH10404","NG19 6QG","DHL"
"SH10405","B8 3LA","Royal Mail"
"SH10406","SG3 6TL","UPS"
"SH10407","KT6 5EP","UPS"
"SH10408","HP19 9TN","DHL"
"SH10409","NR25 6HQ","Evri"
"SH10410","CA28 9BN","UPS"
"SH10411","PO7 7RF","Evri"
"SH10412","NR20 4LS","FedEx"
"SH10413","TR26 2AP","DHL"
"SH10414","BH11 8AR","DHL"
"SH10415","NE9 6AA","Royal Mail"
"SH10416","OX10 0QD","Evri"
"SH10417","GL7 3JB","DHL"
"SH10418","NG21 9EZ","Evri"
"SH10419","GU21 4UX","UPS"
"SH10420","S25 2AB","Evri"
"SH10421","OL3 5HJ","FedEx"
"SH10422","WS3 5DG","Royal Mail"
"SH10423","LS24 8DL","DHL"
"SH10424","NR29 4NB","Evri"
"SH10425","EN9 1UR","Evri"
"SH10426","CV9 1EY","FedEx"
"SH10427","B91 2FW","Evri"
"SH10428","ST2 0BW","Evri"
"SH10429","BT79 9NJ","DHL"
"SH10430","LU1 2WN","Royal Mail"
"SH10431","NW5 9FY","Royal Mail"
"SH10432","DN21 3DS","UPS"
"SH10433","DL1 2UH","Royal Mail"
"SH10434","NE6 2JX","DHL"
"SH10435","SE1P 5BW","DHL"
"SH10436","LU3 3PN","Evri"
"SH10437","B6 7BS","DHL"
"SH10438","E7 0EJ","Royal Mail"
"SH10439","N5 2RD","Evri"
"SH10440","CA11 0QE","Royal Mail"
"SH10441","RM3 8RL","Royal Mail"
"SH10442","KA27 8BU","Royal Mail"
"SH10443","FK15 0NZ","UPS"
"SH10444","ST3 6RS","Evri"
"SH10445","BN17 7BG","UPS"
"SH10446","DT11 7UL","DHL"
"SH10447","ST1 2JP","UPS"
"SH10448","DE24 3HB","FedEx"
"SH10449","AL1 5NZ","Evri"
"SH10450","SA62 5TS","Royal Mail"
"SH10451","IP2 9UE","DHL"
"SH10452","OX11 8QZ","Evri"
"SH10453","RH20 1LE","UPS"
"SH10454","NW11 7QJ","FedEx"
"SH10455","KW14 7AG","Evri"
"SH10456","W8 4PE","FedEx"
"SH10457","KY13 8FX","Evri"
"SH10458","PO8 9NE","FedEx"
"SH10459","S75 3PE","Royal Mail"
"SH10460","IM2 5PW","Royal Mail"
"SH10461","WN3 4NY","DHL"
"SH10462","IP11 3JB","FedEx"
"SH10463","PL27 7ND","UPS"
"SH10464","G73 2HN","Evri"
"SH10465","SK23 9UZ","Royal Mail"
"SH10466","WD23 2JE","UPS"
"SH10467","NE48 1PP","UPS"
"SH10468","AB39 2XT","UPS"
"SH10469","GL13 9LL","DHL"
"SH10470","MK3 5SF","FedEx"
"SH10471","IP14 4PF","Evri"
"SH10472","OL10 4SP","FedEx"
"SH10473","SL6 1AY","Evri"
"SH10474","CT10 1AL","Royal Mail"
"SH10475","SM6 8EN","FedEx"
"SH10476","BT35 7LL","Royal Mail"
"SH10477","ST5 6BU","Evri"
"SH10478","TN37 6PZ","UPS"
"SH10479","SE2 9EJ","FedEx"
"SH10480","DD2 4UL","Royal Mail"
"SH10481","OL1 3RS","DHL"
"SH10482","WV6 0HF","Evri"
"SH10483","BH23 6BL","Royal Mail"
"SH10484","SN1 2QX","Evri"
"SH10485","NG6 9JY","Evri"
"SH10486","RM10 7YT","Royal Mail"
"SH10487","CB1 0GY","UPS"
"SH10488","NE34 8AY","Evri"
"SH10489","CW9 7QB","Royal Mail"
"SH10490","WD19 4EG","UPS"
"SH10491","BH7 7BH","Evri"
"SH10492","SN2 1JH","UPS"
"SH10493","CV21 3QU","Evri"
"SH10494","DL6 1TR","UPS"
"SH10495","CV12 8QJ","FedEx"
"SH10496","BT8 6FZ","DHL"
"SH10497","E9 5SN","UPS"
"SH10498","BT43 6SS","UPS"
"SH10499","N7 7ES","UPS"
"SH10500","N1P 3SH","Evri"
"SH10501","LA12 0LP","Evri"
"SH10502","KY2 6SS","Royal Mail"
"SH10503","PO33 1ER","FedEx"
"SH10504","IP14 2BP","Royal Mail"
"SH10505","HX3 6TP","DHL"
"SH10506","EN11 8JU","UPS"
"SH10507","TQ4 7BL","FedEx"
"SH10508","PL27 7FS","Royal Mail"
"SH10509","B19 1HZ","UPS"
"SH10510","CM14 5EJ","UPS"
"SH10511","TW3 1XF","UPS"
"SH10512","NR31 8AB","DHL"
"SH10513","BT67 0DY","Royal Mail"
"SH10514","GL56 9SD","FedEx"
"SH10515","WS15 2EP","DHL"
"SH10516","NP20 3XT","DHL"
"SH10517","TF3 5DF","UPS"
"SH10518","G3 7RH","FedEx"
"SH10519","LN1 3EA","Royal Mail"
"SH10520","BS7 9EG","DHL"
"SH10521","SK7 1LW","DHL"
"SH10522","M28 3UB","UPS"
"SH10523","EN9 3HR","Evri"
"SH10524","EH5 3LE","Evri"
"SH10525","BS7 8LJ","FedEx"
"SH10526","NR10 5BL","DHL"
"SH10527","GU12 6PR","Royal Mail"
"SH10528","OX15 4SQ","UPS"
"SH10529","EH11 2TW","Evri"
"SH10530","L4 2RN","Royal Mail"
"SH10531","WN1 3RN","FedEx"
"SH10532","DN12 3HR","Royal Mail"
"SH10533","BS37 5XL","Royal Mail"
"SH10534","DN4 5QA","UPS"
"SH10535","EX23 9JH","UPS"
"SH10536","RG40 3RH","FedEx"
"SH10537","LS25 7JZ","UPS"
"SH10538","SY6 6PP","Evri"
"SH10539","PO6 2NZ","Evri"
"SH10540","CF36 9DL","FedEx"
"SH10541","TS21 1FY","Royal Mail"
"SH10542","CT16 2JY","FedEx"
"SH10543","G43 2NL","DHL"
"SH10544","BT82 9AY","Royal Mail"
"SH10545","HU12 0PN","UPS"
"SH10546","PE13 5FJ","Royal Mail"
"SH10547","EN10 6FZ","Evri"
"SH10548","DE56 0DR","Royal Mail"
"SH10549","NG19 7QJ","Royal Mail"
"SH10550","BL3 5EH","Evri"
"SH10551","CV11 4DG","FedEx"
"SH10552","SY5 0SL","FedEx"
"SH10553","DN22 8FN","DHL"
"SH10554","RG12 1JD","UPS"
"SH10555","BL7 9HY","FedEx"
"SH10556","DN3 2FS","UPS"
"SH10557","PA4 0AY","Royal Mail"
"SH10558","CR0 2WU","Royal Mail"
"SH10559","CT6 5JP","UPS"
"SH10560","ST17 4EB","Evri"
"SH10561","MK10 9JR","Evri"
"SH10562","BT45 8AZ","UPS"
"SH10563","EN7 6EJ","FedEx"
"SH10564","TW13 7QA","Royal Mail"
"SH10565","LN3 4HT","DHL"
"SH10566","NN14 3HG","Royal Mail"
"SH10567","CV2 2QL","UPS"
"SH10568","SE24 0JB","DHL"
"SH10569","LN8 6FA","FedEx"
"SH10570","WS2 9JG","Royal Mail"
"SH10571","SA13 2AR","FedEx"
"SH10572","S80 4AN","Evri"
"SH10573","CF15 9QX","FedEx"
"SH10574","SK11 9NA","Royal Mail"
"SH10575","RM11 1JG","DHL"
"SH10576","WF4 1FB","DHL"
"SH10577","NG12 5JQ","UPS"
"SH10578","OX29 4HA","FedEx"
"SH10579","BR8 8DA","DHL"
"SH10580","PE29 3LX","DHL"
"SH10581","EX17 2EZ","Royal Mail"
"SH10582","LE16 8GB","Evri"
"SH10583","FY5 4AB","DHL"
"SH10584","IG2 6LY","DHL"
"SH10585","SK6 6QF","Evri"
"SH10586","LS14 6SP","DHL"
"SH10587","SG2 8EG","FedEx"
"SH10588","NR20 3DH","Evri"
"SH10589","CV7 7LF","UPS"
"SH10590","BS9 3JD","Evri"
"SH10591","EC4M 9AJ","DHL"
"SH10592","CT3 2LL","DHL"
"SH10593","CH65 5DJ","Royal Mail"
"SH10594","CT20 3PW","Royal Mail"
"SH10595","NG5 6PF","FedEx"
"SH10596","TS6 7EG","Royal Mail"
"SH10597","BD5 0LH","UPS"
"SH10598","RG21 7SG","Evri"
"SH10599","SE23 1SP","UPS"
"SH10600","LA12 0RY","UPS"
"SH10601","SW1V 2NP","UPS"
"SH10602","CH2 3PE","FedEx"
"SH10603","DY11 7BG","DHL"
"SH10604","HP3 9BQ","FedEx"
"SH10605","DG12 6SE","Royal Mail"
"SH10606","HD9 3EB","Royal Mail"
"SH10607","W1K 2PP","Evri"
"SH10608","BS14 9JA","DHL"
"SH10609","BA14 9DQ","Evri"
"SH10610","OX14 5BD","UPS"
"SH10611","ST9 0BE","Royal Mail"
"SH10612","TR1 3QX","Royal Mail"
"SH10613","LD1 5LD","FedEx"
"SH10614","TW18 4HP","Evri"
"SH10615","S81 0LL","Evri"
"SH10616","SA1 2DE","Evri"
"SH10617","ML6 8US","Royal Mail"
"SH10618","MK45 4PU","UPS"
"SH10619","EH12 9RG","Evri"
"SH10620","BT15 4EX","UPS"
"SH10621","BN26 5HL","Evri"
"SH10622","N10 2NE","UPS"
"SH10623","HU11 4RP","DHL"
"SH10624","CM1 4LD","DHL"
"SH10625","CV32 4BE","UPS"
"SH10626","IP30 9GY","Royal Mail"
"SH10627","CB23 8AA","DHL"
"SH10628","CT14 9RN","Royal Mail"
"SH10629","SG19 2EP","Evri"
"SH10630","SN6 8EQ","Royal Mail"
"SH10631","L1 5HY","Royal Mail"
"SH10632","GU14 9HL","DHL"
"SH10633","M11 4ET","Royal Mail"
"SH10634","NR28 9JB","Royal Mail"
"SH10635","BS4 3QA","DHL"
"SH10636","NE65 7DN","Evri"
"SH10637","NN13 6FB","FedEx"
"SH10638","BB2 7QW","UPS"
"SH10639","SY3 8TU","DHL"
"SH10640","TN23 5NH","UPS"
"SH10641","SS5 4LS","Royal Mail"
"SH10642","IP2 9TS","DHL"
"SH10643","DD11 5RR","Evri"
"SH10644","SA13 3LJ","UPS"
"SH10645","IP24 3HX","Royal Mail"
"SH10646","BT47 2NE","UPS"
"SH10647","SW16 4LS","Evri"
"SH10648","HA4 8FL","DHL"
"SH10649","MK19 6HF","UPS"
"SH10650","SO31 6XP","UPS"
"SH10651","BT21 0LB","Royal Mail"
"SH10652","M18 8SU","UPS"
"SH10653","UB6 8HD","UPS"
"SH10654","CB21 4JH","DHL"
"SH10655","PE9 2TP","Royal Mail"
"SH10656","CH66 1NN","Royal Mail"
"SH10657","RG1 2NJ","Royal Mail"
"SH10658","LU7 4BT","FedEx"
"SH10659","MK3 6JP","FedEx"
"SH10660","PE8 6SG","FedEx"
"SH10661","HA5 2SH","UPS"
"SH10662","E4 6LH","Evri"
"SH10663","M14 7EF","DHL"
"SH10664","OL4 2HQ","FedEx"
"SH10665","EH48 3EA","DHL"
"SH10666","RH19 1PL","Royal Mail"
"SH10667","BT32 5DF","Evri"
"SH10668","BH20 7BT","Royal Mail"
"SH10669","HD9 7EA","DHL"
"SH10670","NW1W 9HZ","FedEx"
"SH10671","EX1 3YW","UPS"
"SH10672","L24 0SP","Evri"
"SH10673","BS30 6DL","Royal Mail"
"SH10674","LS24 9QE","FedEx"
"SH10675","CB9 7XA","UPS"
"SH10676","NW1W 9JP","Evri"
"SH10677","LD3 8AJ","Royal Mail"
"SH10678","GU52 6AH","Royal Mail"
"SH10679","ME13 9EZ","FedEx"
"SH10680","L17 2AE","UPS"
"SH10681","PL6 5JF","UPS"
"SH10682","CT16 1JS","Evri"
"SH10683","SS8 9JF","DHL"
"SH10684","S71 5QB","FedEx"
"SH10685","TA20 1JX","UPS"
"SH10686","HU7 4QG","FedEx"
"SH10687","CF3 1RS","UPS"
"SH10688","LE7 9EU","FedEx"
"SH10689","TS4 2BY","Evri"
"SH10690","NW1W 9GP","UPS"
"SH10691","LE67 4ZR","UPS"
"SH10692","SW3 2LX","UPS"
"SH10693","WS7 0EZ","FedEx"
"SH10694","SK14 9DN","FedEx"
"SH10695","DD5 9BN","DHL"
"SH10696","M3 1NH","Evri"
"SH10697","DL15 9ER","UPS"
"SH10698","N2 0RS","FedEx"
"SH10699","LS25 6JJ","FedEx"
"SH10700","SS17 8AH","DHL"
"SH10701","UB4 0XA","FedEx"
"SH10702","BN26 6NT","Royal Mail"
"SH10703","E13 0RU","DHL"
"SH10704","BS30 6LA","Royal Mail"
"SH10705","NN12 7LW","FedEx"
"SH10706","TA6 3LY","Evri"
"SH10707","SA39 9DD","DHL"
"SH10708","MK18 4LQ","DHL"
"SH10709","DN11 9NT","Royal Mail"
"SH10710","RH6 8LQ","FedEx"
"SH10711","SS0 0BJ","Evri"
"SH10712","OX25 5LD","DHL"
"SH10713","BT94 2GQ","DHL"
"SH10714","AB43 8WX","DHL"
"SH10715","SR4 8PA","UPS"
"SH10716","TS10 5BF","DHL"
"SH10717","NN6 7DH","DHL"
