"TRANSACTION_ID","PAYMENT_METHOD","TRANSACTION_STATUS"
"TR10067","Credit card","Successful"
"TR10068","Credit card","Declined"
"TR10069","Debit card","Successful"
"TR10070","Paypal","Successful"
"TR10071","Paypal","Successful"
"TR10072","Debit card","Successful"
"TR10073","Paypal","Successful"
"TR10074","Debit card","Successful"
"TR10075","Debit card","Successful"
"TR10076","Debit card","Successful"
"TR10077","Credit card","Declined"
"TR10078","Debit card","Successful"
"TR10079","Debit card","Successful"
"TR10080","Debit card","Successful"
"TR10081","Credit card","Declined"
"TR10082","Paypal","Successful"
"TR10083","Credit card","Successful"
"TR10084","Debit card","Successful"
"TR10085","Credit card","Successful"
"TR10086","Credit card","Successful"
"TR10087","Credit card","Successful"
"TR10088","Gift Card","Successful"
"TR10089","Credit card","Declined"
"TR10090","Paypal","Successful"
"TR10091","Paypal","Successful"
"TR10092","Credit card","Successful"
"TR10093","Debit card","Successful"
"TR10094","Debit card","Successful"
"TR10095","Credit card","Successful"
"TR10096","Paypal","Successful"
"TR10097","Paypal","Successful"
"TR10098","Credit card","Successful"
"TR10099","Credit card","Successful"
"TR10100","Paypal","Successful"
"TR10101","Debit card","Declined"
"TR10102","Debit card","Successful"
"TR10103","Credit card","Successful"
"TR10104","Credit card","Successful"
"TR10105","Debit card","Successful"
"TR10106","Credit card","Successful"
"TR10107","Credit card","Successful"
"TR10108","Paypal","Successful"
"TR10109","Debit card","Successful"
"TR10110","Gift Card","Successful"
"TR10111","Paypal","Declined"
"TR10112","Paypal","Successful"
"TR10113","Debit card","Successful"
"TR10114","Debit card","Successful"
"TR10115","Paypal","Successful"
"TR10116","Debit card","Declined"
"TR10117","Credit card","Successful"
"TR10118","Gift Card","Declined"
"TR10119","Debit card","Successful"
"TR10120","Paypal","Successful"
"TR10121","Credit card","Successful"
"TR10122","Debit card","Successful"
"TR10123","Paypal","Successful"
"TR10124","Debit card","Successful"
"TR10125","Paypal","Successful"
"TR10126","Paypal","Successful"
"TR10127","Credit card","Successful"
"TR10128","Paypal","Successful"
"TR10129","Debit card","Successful"
"TR10130","Debit card","Declined"
"TR10131","Credit card","Successful"
"TR10132","Credit card","Successful"
"TR10133","Debit card","Successful"
"TR10134","Credit card","Successful"
"TR10135","Credit card","Successful"
"TR10136","Credit card","Successful"
"TR10137","Paypal","Successful"
"TR10138","Credit card","Successful"
"TR10139","Credit card","Successful"
"TR10140","Credit card","Successful"
"TR10141","Credit card","Successful"
"TR10142","Debit card","Successful"
"TR10143","Credit card","Successful"
"TR10144","Credit card","Successful"
"TR10145","Debit card","Successful"
"TR10146","Credit card","Successful"
"TR10147","Credit card","Successful"
"TR10148","Paypal","Successful"
"TR10149","Credit card","Successful"
"TR10150","Credit card","Successful"
"TR10151","Paypal","Successful"
"TR10152","Debit card","Successful"
"TR10153","Credit card","Successful"
"TR10154","Debit card","Successful"
"TR10155","Credit card","Successful"
"TR10156","Paypal","Declined"
"TR10157","Credit card","Successful"
"TR10158","Credit card","Successful"
"TR10159","Credit card","Successful"
"TR10160","Debit card","Successful"
"TR10161","Credit card","Successful"
"TR10162","Gift Card","Successful"
"TR10163","Gift Card","Successful"
"TR10164","Debit card","Successful"
"TR10165","Credit card","Successful"
"TR10166","Paypal","Successful"
"TR10167","Credit card","Successful"
"TR10168","Paypal","Successful"
"TR10169","Debit card","Successful"
"TR10170","Credit card","Successful"
"TR10171","Debit card","Successful"
"TR10172","Debit card","Successful"
"TR10173","Debit card","Successful"
"TR10174","Credit card","Successful"
"TR10175","Credit card","Successful"
"TR10176","Paypal","Declined"
"TR10177","Debit card","Successful"
"TR10178","Debit card","Successful"
"TR10179","Debit card","Successful"
"TR10180","Credit card","Successful"
"TR10181","Credit card","Successful"
"TR10182","Credit card","Successful"
"TR10183","Credit card","Successful"
"TR10184","Paypal","Successful"
"TR10185","Credit card","Successful"
"TR10186","Debit card","Successful"
"TR10187","Credit card","Successful"
"TR10188","Gift Card","Successful"
"TR10189","Gift Card","Successful"
"TR10190","Credit card","Successful"
"TR10191","Credit card","Successful"
"TR10192","Paypal","Successful"
"TR10193","Credit card","Successful"
"TR10194","Credit card","Successful"
"TR10195","Paypal","Successful"
"TR10196","Credit card","Successful"
"TR10197","Credit card","Successful"
"TR10198","Paypal","Successful"
"TR10199","Debit card","Successful"
"TR10200","Debit card","Successful"
"TR10201","Credit card","Successful"
"TR10202","Debit card","Successful"
"TR10203","Debit card","Successful"
"TR10204","Paypal","Successful"
"TR10205","Credit card","Successful"
"TR10206","Paypal","Successful"
"TR10207","Credit card","Successful"
"TR10208","Debit card","Successful"
"TR10209","Debit card","Successful"
"TR10210","Debit card","Successful"
"TR10211","Credit card","Successful"
"TR10212","Credit card","Successful"
"TR10213","Debit card","Successful"
"TR10214","Debit card","Successful"
"TR10215","Debit card","Successful"
"TR10216","Credit card","Successful"
"TR10217","Credit card","Successful"
"TR10218","Credit card","Successful"
"TR10219","Credit card","Successful"
"TR10220","Credit card","Successful"
"TR10221","Credit card","Successful"
"TR10222","Credit card","Successful"
"TR10223","Credit card","Successful"
"TR10224","Debit card","Successful"
"TR10225","Debit card","Successful"
"TR10226","Credit card","Successful"
"TR10227","Credit card","Successful"
"TR10228","Credit card","Successful"
"TR10229","Debit card","Successful"
"TR10230","Credit card","Successful"
"TR10231","Credit card","Successful"
"TR10232","Debit card","Successful"
"TR10233","Debit card","Successful"
"TR10234","Credit card","Successful"
"TR10235","Paypal","Successful"
"TR10236","Credit card","Successful"
"TR10237","Credit card","Successful"
"TR10238","Debit card","Successful"
"TR10239","Debit card","Successful"
"TR10240","Credit card","Successful"
"TR10241","Debit card","Successful"
"TR10242","Credit card","Successful"
"TR10243","Credit card","Successful"
"TR10244","Credit card","Successful"
"TR10245","Credit card","Successful"
"TR10246","Credit card","Successful"
"TR10247","Debit card","Successful"
"TR10248","Debit card","Successful"
"TR10249","Debit card","Successful"
"TR10250","Credit card","Successful"
"TR10251","Debit card","Successful"
"TR10252","Credit card","Successful"
"TR10253","Paypal","Successful"
"TR10254","Credit card","Successful"
"TR10255","Credit card","Successful"
"TR10256","Credit card","Successful"
"TR10257","Paypal","Successful"
"TR10258","Debit card","Successful"
"TR10259","Paypal","Declined"
"TR10260","Paypal","Successful"
"TR10261","Credit card","Successful"
"TR10262","Debit card","Successful"
"TR10263","Credit card","Successful"
"TR10264","Credit card","Successful"
"TR10265","Debit card","Successful"
"TR10266","Debit card","Successful"
"TR10267","Credit card","Successful"
"TR10268","Debit card","Successful"
"TR10269","Credit card","Successful"
"TR10270","Debit card","Successful"
"TR10271","Paypal","Successful"
"TR10272","Credit card","Successful"
"TR10273","Debit card","Successful"
"TR10274","Credit card","Successful"
"TR10275","Credit card","Successful"
"TR10276","Credit card","Successful"
"TR10277","Credit card","Successful"
"TR10278","Debit card","Successful"
"TR10279","Paypal","Successful"
"TR10280","Paypal","Successful"
"TR10281","Credit card","Successful"
"TR10282","Credit card","Successful"
"TR10283","Debit card","Successful"
"TR10284","Debit card","Successful"
"TR10285","Paypal","Successful"
"TR10286","Credit card","Successful"
"TR10287","Paypal","Successful"
"TR10288","Credit card","Successful"
"TR10289","Credit card","Successful"
"TR10290","Credit card","Successful"
"TR10291","Gift Card","Successful"
"TR10292","Debit card","Successful"
"TR10293","Paypal","Successful"
"TR10294","Credit card","Successful"
"TR10295","Credit card","Successful"
"TR10296","Debit card","Successful"
"TR10297","Credit card","Successful"
"TR10298","Paypal","Successful"
"TR10299","Credit card","Successful"
"TR10300","Credit card","Successful"
"TR10301","Paypal","Successful"
"TR10302","Debit card","Successful"
"TR10303","Debit card","Successful"
"TR10304","Credit card","Successful"
"TR10305","Debit card","Successful"
"TR10306","Paypal","Successful"
"TR10307","Credit card","Successful"
"TR10308","Credit card","Successful"
"TR10309","Paypal","Successful"
"TR10310","Debit card","Successful"
"TR10311","Credit card","Successful"
"TR10312","Credit card","Successful"
"TR10313","Paypal","Declined"
"TR10314","Paypal","Successful"
"TR10315","Credit card","Successful"
"TR10316","Debit card","Successful"
"TR10317","Debit card","Successful"
"TR10318","Gift Card","Declined"
"TR10319","Credit card","Successful"
"TR10320","Credit card","Successful"
"TR10321","Credit card","Successful"
"TR10322","Paypal","Successful"
"TR10323","Credit card","Successful"
"TR10324","Credit card","Successful"
"TR10325","Credit card","Declined"
"TR10326","Credit card","Successful"
"TR10327","Debit card","Declined"
"TR10328","Credit card","Successful"
"TR10329","Debit card","Successful"
"TR10330","Credit card","Successful"
"TR10331","Credit card","Successful"
"TR10332","Credit card","Successful"
"TR10333","Debit card","Successful"
"TR10334","Debit card","Successful"
"TR10335","Debit card","Successful"
"TR10336","Credit card","Successful"
"TR10337","Credit card","Successful"
"TR10338","Debit card","Successful"
"TR10339","Credit card","Successful"
"TR10340","Credit card","Successful"
"TR10341","Paypal","Successful"
"TR10342","Paypal","Declined"
"TR10343","Credit card","Successful"
"TR10344","Credit card","Successful"
"TR10345","Credit card","Successful"
"TR10346","Credit card","Successful"
"TR10347","Credit card","Successful"
"TR10348","Paypal","Successful"
"TR10349","Paypal","Successful"
"TR10350","Paypal","Successful"
"TR10351","Credit card","Successful"
"TR10352","Debit card","Successful"
"TR10353","Credit card","Successful"
"TR10354","Credit card","Successful"
"TR10355","Debit card","Successful"
"TR10356","Paypal","Successful"
"TR10357","Credit card","Successful"
"TR10358","Debit card","Successful"
"TR10359","Paypal","Successful"
"TR10360","Credit card","Successful"
"TR10361","Paypal","Successful"
"TR10362","Credit card","Successful"
"TR10363","Credit card","Successful"
"TR10364","Paypal","Successful"
"TR10365","Credit card","Successful"
"TR10366","Paypal","Declined"
"TR10367","Debit card","Successful"
"TR10368","Debit card","Successful"
"TR10369","Paypal","Successful"
"TR10370","Debit card","Successful"
"TR10371","Debit card","Successful"
"TR10372","Paypal","Successful"
"TR10373","Paypal","Successful"
"TR10374","Credit card","Successful"
"TR10375","Paypal","Successful"
"TR10376","Debit card","Successful"
"TR10377","Credit card","Successful"
"TR10378","Credit card","Successful"
"TR10379","Debit card","Successful"
"TR10380","Debit card","Successful"
"TR10381","Paypal","Successful"
"TR10382","Credit card","Successful"
"TR10383","Credit card","Successful"
"TR10384","Debit card","Successful"
"TR10385","Debit card","Successful"
"TR10386","Debit card","Successful"
"TR10387","Debit card","Declined"
"TR10388","Credit card","Successful"
"TR10389","Debit card","Successful"
"TR10390","Paypal","Successful"
"TR10391","Debit card","Successful"
"TR10392","Credit card","Successful"
"TR10393","Debit card","Successful"
"TR10394","Debit card","Successful"
"TR10395","Gift Card","Successful"
"TR10396","Credit card","Successful"
"TR10397","Credit card","Successful"
"TR10398","Credit card","Successful"
"TR10399","Credit card","Successful"
"TR10400","Paypal","Successful"
"TR10401","Credit card","Successful"
"TR10402","Paypal","Successful"
"TR10403","Credit card","Successful"
"TR10404","Credit card","Successful"
"TR10405","Debit card","Successful"
"TR10406","Debit card","Successful"
"TR10407","Credit card","Successful"
"TR10408","Credit card","Successful"
"TR10409","Debit card","Successful"
"TR10410","Credit card","Successful"
"TR10411","Debit card","Successful"
"TR10412","Credit card","Successful"
"TR10413","Debit card","Successful"
"TR10414","Debit card","Successful"
"TR10415","Paypal","Successful"
"TR10416","Credit card","Successful"
"TR10417","Debit card","Successful"
"TR10418","Credit card","Successful"
"TR10419","Credit card","Successful"
"TR10420","Credit card","Successful"
"TR10421","Credit card","Successful"
"TR10422","Paypal","Successful"
"TR10423","Credit card","Successful"
"TR10424","Credit card","Successful"
"TR10425","Credit card","Successful"
"TR10426","Credit card","Successful"
"TR10427","Credit card","Successful"
"TR10428","Credit card","Successful"
"TR10429","Debit card","Successful"
"TR10430","Credit card","Successful"
"TR10431","Debit card","Successful"
"TR10432","Credit card","Successful"
"TR10433","Credit card","Successful"
"TR10434","Credit card","Successful"
"TR10435","Gift Card","Successful"
"TR10436","Credit card","Successful"
"TR10437","Debit card","Declined"
"TR10438","Credit card","Successful"
"TR10439","Debit card","Successful"
"TR10440","Debit card","Successful"
"TR10441","Credit card","Successful"
"TR10442","Credit card","Successful"
"TR10443","Credit card","Successful"
"TR10444","Credit card","Successful"
"TR10445","Credit card","Successful"
"TR10446","Paypal","Successful"
"TR10447","Paypal","Successful"
"TR10448","Credit card","Successful"
"TR10449","Credit card","Successful"
"TR10450","Debit card","Successful"
"TR10451","Debit card","Successful"
"TR10452","Credit card","Successful"
"TR10453","Paypal","Successful"
"TR10454","Credit card","Successful"
"TR10455","Paypal","Declined"
"TR10456","Paypal","Successful"
"TR10457","Credit card","Successful"
"TR10458","Paypal","Successful"
"TR10459","Debit card","Successful"
"TR10460","Credit card","Successful"
"TR10461","Debit card","Successful"
"TR10462","Debit card","Successful"
"TR10463","Paypal","Successful"
"TR10464","Credit card","Successful"
"TR10465","Debit card","Successful"
"TR10466","Credit card","Successful"
"TR10467","Credit card","Successful"
"TR10468","Credit card","Successful"
"TR10469","Credit card","Successful"
"TR10470","Credit card","Successful"
"TR10471","Gift Card","Successful"
"TR10472","Debit card","Successful"
"TR10473","Credit card","Successful"
"TR10474","Debit card","Successful"
"TR10475","Debit card","Successful"
"TR10476","Debit card","Successful"
"TR10477","Credit card","Successful"
"TR10478","Credit card","Successful"
"TR10479","Debit card","Successful"
"TR10480","Debit card","Declined"
"TR10481","Credit card","Successful"
"TR10482","Credit card","Successful"
"TR10483","Paypal","Successful"
"TR10484","Credit card","Successful"
"TR10485","Debit card","Successful"
"TR10486","Paypal","Successful"
"TR10487","Credit card","Successful"
"TR10488","Debit card","Successful"
"TR10489","Debit card","Successful"
"TR10490","Credit card","Successful"
"TR10491","Credit card","Successful"
"TR10492","Credit card","Successful"
"TR10493","Paypal","Declined"
"TR10494","Credit card","Successful"
"TR10495","Credit card","Successful"
"TR10496","Credit card","Successful"
"TR10497","Debit card","Successful"
"TR10498","Credit card","Successful"
"TR10499","Credit card","Successful"
"TR10500","Credit card","Successful"
"TR10501","Credit card","Declined"
"TR10502","Credit card","Successful"
"TR10503","Paypal","Successful"
"TR10504","Credit card","Successful"
"TR10505","Debit card","Successful"
"TR10506","Credit card","Successful"
"TR10507","Credit card","Successful"
"TR10508","Credit card","Successful"
"TR10509","Credit card","Successful"
"TR10510","Credit card","Successful"
"TR10511","Debit card","Successful"
"TR10512","Paypal","Successful"
"TR10513","Debit card","Successful"
"TR10514","Paypal","Successful"
"TR10515","Debit card","Successful"
"TR10516","Credit card","Successful"
"TR10517","Debit card","Successful"
"TR10518","Paypal","Successful"
"TR10519","Debit card","Declined"
"TR10520","Credit card","Successful"
"TR10521","Credit card","Successful"
"TR10522","Credit card","Successful"
"TR10523","Paypal","Declined"
"TR10524","Credit card","Successful"
"TR10525","Credit card","Successful"
"TR10526","Debit card","Successful"
"TR10527","Debit card","Successful"
"TR10528","Credit card","Successful"
"TR10529","Paypal","Successful"
"TR10530","Paypal","Successful"
"TR10531","Credit card","Successful"
"TR10532","Credit card","Successful"
"TR10533","Credit card","Successful"
"TR10534","Credit card","Successful"
"TR10535","Debit card","Successful"
"TR10536","Credit card","Successful"
"TR10537","Paypal","Successful"
"TR10538","Paypal","Successful"
"TR10539","Paypal","Declined"
"TR10540","Paypal","Successful"
"TR10541","Credit card","Successful"
"TR10542","Debit card","Declined"
"TR10543","Credit card","Successful"
"TR10544","Credit card","Successful"
"TR10545","Credit card","Successful"
"TR10546","Debit card","Successful"
"TR10547","Debit card","Successful"
"TR10548","Credit card","Successful"
"TR10549","Credit card","Successful"
"TR10550","Paypal","Successful"
"TR10551","Credit card","Successful"
"TR10552","Debit card","Successful"
"TR10553","Paypal","Successful"
"TR10554","Credit card","Successful"
"TR10555","Paypal","Successful"
"TR10556","Credit card","Successful"
"TR10557","Debit card","Successful"
"TR10558","Credit card","Successful"
"TR10559","Paypal","Successful"
"TR10560","Debit card","Successful"
"TR10561","Credit card","Successful"
"TR10562","Credit card","Successful"
"TR10563","Credit card","Successful"
"TR10564","Credit card","Successful"
"TR10565","Paypal","Successful"
"TR10566","Debit card","Successful"
"TR10567","Credit card","Successful"
"TR10568","Debit card","Successful"
"TR10569","Paypal","Successful"
"TR10570","Debit card","Successful"
"TR10571","Credit card","Successful"
"TR10572","Credit card","Successful"
"TR10573","Credit card","Successful"
"TR10574","Debit card","Successful"
"TR10575","Credit card","Successful"
"TR10576","Debit card","Successful"
"TR10577","Debit card","Successful"
"TR10578","Debit card","Successful"
"TR10579","Debit card","Successful"
"TR10580","Credit card","Successful"
"TR10581","Credit card","Declined"
"TR10582","Paypal","Successful"
"TR10583","Credit card","Successful"
"TR10584","Credit card","Successful"
"TR10585","Credit card","Successful"
"TR10586","Paypal","Successful"
"TR10587","Credit card","Successful"
"TR10588","Paypal","Successful"
"TR10589","Paypal","Successful"
"TR10590","Debit card","Successful"
"TR10591","Credit card","Successful"
"TR10592","Debit card","Successful"
"TR10593","Debit card","Successful"
"TR10594","Paypal","Successful"
"TR10595","Credit card","Successful"
"TR10596","Credit card","Successful"
"TR10597","Credit card","Successful"
"TR10598","Debit card","Successful"
"TR10599","Debit card","Successful"
"TR10600","Debit card","Successful"
"TR10601","Debit card","Successful"
"TR10602","Credit card","Successful"
"TR10603","Credit card","Successful"
"TR10604","Credit card","Declined"
"TR10605","Debit card","Successful"
"TR10606","Paypal","Successful"
"TR10607","Paypal","Successful"
"TR10608","Debit card","Successful"
"TR10609","Credit card","Successful"
"TR10610","Credit card","Successful"
"TR10611","Debit card","Successful"
"TR10612","Debit card","Successful"
"TR10613","Credit card","Successful"
"TR10614","Credit card","Successful"
"TR10615","Debit card","Successful"
"TR10616","Debit card","Successful"
"TR10617","Debit card","Successful"
"TR10618","Credit card","Successful"
"TR10619","Debit card","Successful"
"TR10620","Debit card","Successful"
"TR10621","Paypal","Successful"
"TR10622","Debit card","Successful"
"TR10623","Debit card","Successful"
"TR10624","Credit card","Successful"
"TR10625","Debit card","Successful"
"TR10626","Debit card","Successful"
"TR10627","Credit card","Successful"
"TR10628","Credit card","Successful"
"TR10629","Credit card","Successful"
"TR10630","Paypal","Successful"
"TR10631","Debit card","Successful"
"TR10632","Gift Card","Successful"
"TR10633","Credit card","Successful"
"TR10634","Credit card","Successful"
"TR10635","Paypal","Successful"
"TR10636","Credit card","Successful"
"TR10637","Credit card","Successful"
"TR10638","Credit card","Successful"
"TR10639","Credit card","Successful"
"TR10640","Debit card","Declined"
"TR10641","Credit card","Successful"
"TR10642","Credit card","Successful"
"TR10643","Credit card","Successful"
"TR10644","Debit card","Successful"
"TR10645","Credit card","Successful"
"TR10646","Credit card","Successful"
"TR10647","Credit card","Successful"
"TR10648","Debit card","Successful"
"TR10649","Debit card","Successful"
"TR10650","Debit card","Successful"
"TR10651","Debit card","Successful"
"TR10652","Credit card","Declined"
"TR10653","Credit card","Successful"
"TR10654","Credit card","Declined"
"TR10655","Debit card","Successful"
"TR10656","Debit card","Successful"
"TR10657","Paypal","Successful"
"TR10658","Credit card","Declined"
"TR10659","Debit card","Successful"
"TR10660","Credit card","Successful"
"TR10661","Debit card","Successful"
"TR10662","Debit card","Successful"
"TR10663","Credit card","Declined"
"TR10664","Credit card","Successful"
"TR10665","Credit card","Successful"
"TR10666","Credit card","Successful"
"TR10667","Paypal","Successful"
"TR10668","Paypal","Declined"
"TR10669","Credit card","Successful"
"TR10670","Credit card","Successful"
"TR10671","Debit card","Declined"
"TR10672","Credit card","Successful"
"TR10673","Credit card","Successful"
"TR10674","Paypal","Successful"
"TR10675","Credit card","Successful"
"TR10676","Credit card","Successful"
"TR10677","Debit card","Successful"
"TR10678","Credit card","Successful"
"TR10679","Credit card","Successful"
"TR10680","Debit card","Successful"
"TR10681","Paypal","Successful"
"TR10682","Credit card","Successful"
"TR10683","Credit card","Declined"
"TR10684","Paypal","Successful"
"TR10685","Debit card","Successful"
"TR10686","Credit card","Successful"
"TR10687","Gift Card","Successful"
"TR10688","Credit card","Successful"
"TR10689","Debit card","Successful"
"TR10690","Debit card","Successful"
"TR10691","Debit card","Successful"
"TR10692","Credit card","Successful"
"TR10693","Paypal","Successful"
"TR10694","Credit card","Successful"
"TR10695","Debit card","Successful"
"TR10696","Credit card","Successful"
"TR10697","Debit card","Successful"
"TR10698","Debit card","Successful"
"TR10699","Debit card","Successful"
"TR10700","Credit card","Declined"
"TR10701","Gift Card","Successful"
"TR10702","Credit card","Successful"
"TR10703","Paypal","Successful"
"TR10704","Debit card","Successful"
"TR10705","Debit card","Successful"
"TR10706","Credit card","Successful"
"TR10707","Debit card","Successful"
"TR10708","Credit card","Successful"
"TR10709","Gift Card","Declined"
"TR10710","Debit card","Successful"
"TR10711","Debit card","Successful"
"TR10712","Gift Card","Successful"
"TR10713","Gift Card","Successful"
"TR10714","Debit card","Successful"
"TR10715","Credit card","Successful"
"TR10716","Debit card","Successful"
"TR10717","Paypal","Successful"
"TR10718","Paypal","Successful"
"TR10719","Paypal","Successful"
"TR10720","Debit card","Successful"
"TR10721","Credit card","Successful"
"TR10722","Credit card","Successful"
"TR10723","Credit card","Successful"
"TR10724","Debit card","Successful"
"TR10725","Credit card","Successful"
"TR10726","Debit card","Successful"
"TR10727","Credit card","Successful"
"TR10728","Credit card","Successful"
"TR10729","Paypal","Successful"
"TR10730","Credit card","Successful"
"TR10731","Paypal","Successful"
"TR10732","Debit card","Successful"
"TR10733","Debit card","Successful"
"TR10734","Credit card","Successful"
"TR10735","Credit card","Declined"
"TR10736","Debit card","Successful"
"TR10737","Credit card","Successful"
"TR10738","Debit card","Successful"
"TR10739","Paypal","Successful"
"TR10740","Paypal","Successful"
"TR10741","Credit card","Successful"
"TR10742","Paypal","Successful"
"TR10743","Credit card","Successful"
"TR10744","Debit card","Successful"
"TR10745","Credit card","Successful"
"TR10746","Credit card","Successful"
"TR10747","Debit card","Successful"
"TR10748","Credit card","Successful"
"TR10749","Credit card","Successful"
"TR10750","Credit card","Successful"
"TR10751","Credit card","Successful"
"TR10752","Credit card","Successful"
"TR10753","Debit card","Successful"
"TR10754","Paypal","Successful"
"TR10755","Paypal","Successful"
"TR10756","Credit card","Successful"
"TR10757","Debit card","Successful"
"TR10758","Debit card","Successful"
"TR10759","Credit card","Successful"
"TR10760","Debit card","Successful"
"TR10761","Paypal","Successful"
"TR10762","Paypal","Successful"
"TR10763","Credit card","Successful"
"TR10764","Paypal","Successful"
"TR10765","Debit card","Successful"
"TR10766","Credit card","Successful"
"TR10767","Paypal","Successful"
"TR10768","Debit card","Successful"
"TR10769","Credit card","Successful"
"TR10770","Credit card","Successful"
"TR10771","Debit card","Successful"
"TR10772","Debit card","Successful"
"TR10773","Paypal","Successful"
"TR10774","Credit card","Successful"
"TR10775","Debit card","Successful"
"TR10776","Credit card","Successful"
"TR10777","Credit card","Successful"
"TR10778","Debit card","Successful"
"TR10779","Credit card","Successful"
"TR10780","Debit card","Successful"
"TR10781","Credit card","Successful"
"TR10782","Debit card","Successful"
"TR10783","Credit card","Successful"
"TR10784","Credit card","Successful"
"TR10785","Debit card","Successful"
"TR10786","Debit card","Declined"
"TR10787","Credit card","Successful"
"TR10788","Gift Card","Successful"
"TR10789","Credit card","Successful"
"TR10790","Paypal","Successful"
"TR10791","Debit card","Successful"
"TR10792","Credit card","Successful"
"TR10793","Debit card","Successful"
"TR10794","Credit card","Successful"
"TR10795","Debit card","Successful"
"TR10796","Paypal","Successful"
"TR10797","Credit card","Successful"
"TR10798","Debit card","Successful"
"TR10799","Debit card","Successful"
"TR10800","Credit card","Successful"
"TR10801","Debit card","Successful"
"TR10802","Credit card","Successful"
"TR10803","Credit card","Successful"
"TR10804","Credit card","Successful"
"TR10805","Credit card","Successful"
"TR10806","Credit card","Successful"
"TR10807","Debit card","Declined"
"TR10808","Credit card","Successful"
"TR10809","Debit card","Successful"
"TR10810","Debit card","Successful"
"TR10811","Credit card","Successful"
"TR10812","Debit card","Successful"
"TR10813","Credit card","Successful"
"TR10814","Debit card","Declined"
"TR10815","Credit card","Successful"
"TR10816","Debit card","Successful"
"TR10817","Credit card","Successful"
"TR10818","Credit card","Successful"
"TR10819","Credit card","Successful"
"TR10820","Debit card","Successful"
"TR10821","Paypal","Successful"
"TR10822","Debit card","Successful"
"TR10823","Credit card","Successful"
"TR10824","Debit card","Successful"
"TR10825","Debit card","Successful"
"TR10826","Gift Card","Successful"
"TR10827","Debit card","Successful"
"TR10828","Credit card","Declined"
"TR10829","Debit card","Successful"
"TR10830","Debit card","Successful"
"TR10831","Debit card","Successful"
"TR10832","Credit card","Successful"
"TR10833","Credit card","Successful"
"TR10834","Gift Card","Successful"
"TR10835","Debit card","Successful"
"TR10836","Credit card","Successful"
"TR10837","Debit card","Successful"
"TR10838","Credit card","Successful"
"TR10839","Debit card","Successful"
"TR10840","Credit card","Successful"
"TR10841","Paypal","Successful"
"TR10842","Debit card","Declined"
"TR10843","Credit card","Successful"
"TR10844","Credit card","Successful"
"TR10845","Debit card","Successful"
"TR10846","Credit card","Successful"
"TR10847","Debit card","Successful"
"TR10848","Debit card","Successful"
"TR10849","Paypal","Successful"
"TR10850","Credit card","Successful"
"TR10851","Credit card","Successful"
"TR10852","Debit card","Successful"
"TR10853","Credit card","Successful"
"TR10854","Credit card","Successful"
"TR10855","Credit card","Declined"
"TR10856","Credit card","Successful"
"TR10857","Paypal","Successful"
"TR10858","Credit card","Successful"
"TR10859","Debit card","Successful"
"TR10860","Paypal","Successful"
"TR10861","Credit card","Successful"
"TR10862","Credit card","Successful"
"TR10863","Debit card","Declined"
"TR10864","Credit card","Successful"
"TR10865","Debit card","Successful"
"TR10866","Debit card","Successful"
"TR10867","Debit card","Declined"
"TR10868","Debit card","Successful"
